% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770121892.9164 0.000 0.000 0.0000 -2.5579
1770121892.9218 0.000 0.000 0.0000 -2.5579
1770121892.9263 0.000 0.000 0.0000 -2.5580
1770121892.9316 0.000 0.000 0.0000 -2.5580
1770121892.9371 0.000 0.000 0.0000 -2.5581
1770121892.9414 0.000 0.000 0.0000 -2.5582
1770121892.9469 0.000 0.000 0.0000 -2.5582
1770121892.9513 0.000 0.000 0.0000 -2.5583
1770121892.9567 0.000 0.000 0.0000 -2.5583
1770121892.9612 0.000 0.000 0.0000 -2.5583
1770121892.9666 0.000 0.000 0.0000 -2.5583
1770121892.9720 0.000 0.000 0.0000 -2.5583
1770121892.9764 0.000 0.000 0.0000 -2.5583
1770121892.9817 0.000 0.000 0.0000 -2.5583
1770121892.9862 0.000 0.000 0.0000 -2.5582
1770121892.9916 0.000 0.000 0.0000 -2.5582
1770121892.9971 0.000 0.000 0.0000 -2.5581
1770121893.0014 0.000 0.000 0.0000 -2.5580
1770121893.0069 0.000 0.000 0.0000 -2.5579
1770121893.0112 0.000 0.000 0.0000 -2.5579
1770121893.0166 0.000 0.000 0.0000 -2.5578
1770121893.0221 0.000 0.000 0.0000 -2.5577
1770121893.0265 0.000 0.000 0.0000 -2.5577
1770121893.0319 0.000 0.000 0.0000 -2.5576
1770121893.0363 0.000 0.000 0.0000 -2.5576
1770121893.0416 0.000 0.000 0.0000 -2.5575
1770121893.0465 0.000 0.000 0.0000 -2.5575
1770121893.0520 0.000 0.000 0.0000 -2.5575
1770121893.0565 0.000 0.000 0.0000 -2.5575
1770121893.0618 0.000 0.000 0.0000 -2.5575
1770121893.0663 0.000 0.000 0.0000 -2.5576
1770121893.0717 0.000 0.000 0.0000 -2.5576
1770121893.0771 0.000 0.000 0.0000 -2.5576
1770121893.0816 0.000 0.000 0.0000 -2.5576
1770121893.0870 0.000 0.000 0.0000 -2.5577
1770121893.0914 0.000 0.000 0.0000 -2.5577
1770121893.0970 0.000 0.000 0.0000 -2.5578
1770121893.1023 0.000 0.000 0.0000 -2.5578
1770121893.1067 0.000 0.000 0.0000 -2.5579
1770121893.1121 0.000 0.000 0.0000 -2.5579
1770121893.1165 0.000 0.000 0.0000 -2.5580
1770121893.1219 0.000 0.000 0.0000 -2.5580
1770121893.1264 0.000 0.000 0.0000 -2.5581
1770121893.1317 0.000 0.000 0.0000 -2.5581
1770121893.1371 0.000 0.000 0.0000 -2.5581
1770121893.1415 0.000 0.000 0.0000 -2.5581
1770121893.1470 0.000 0.000 0.0000 -2.5581
1770121893.1514 0.000 0.000 0.0000 -2.5581
1770121893.1568 0.000 0.000 0.0000 -2.5581
1770121893.1622 0.000 0.000 0.0000 -2.5580
1770121893.1666 0.000 0.000 0.0000 -2.5580
1770121893.1720 0.000 0.000 0.0000 -2.5579
1770121893.1765 0.000 0.000 0.0000 -2.5579
1770121893.1818 0.000 0.000 0.0000 -2.5578
1770121893.1871 0.000 0.000 0.0000 -2.5578
1770121893.1916 0.000 0.000 0.0000 -2.5577
1770121893.1970 0.000 0.000 0.0000 -2.5577
1770121893.2014 0.000 0.000 0.0000 -2.5576
1770121893.2068 0.000 0.000 0.0000 -2.5576
1770121893.2122 0.000 0.000 0.0000 -2.5576
1770121893.2166 0.000 0.000 0.0000 -2.5575
1770121893.2220 0.000 0.000 0.0000 -2.5575
1770121893.2264 0.000 0.000 0.0000 -2.5575
